B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_00180	202	478	683	639	901	1014	760	605	715	944	342	290	429	439	185	2	1	10	48	70	19	214	49	61	218	12	58	44	142	100	81
B4U62_00185	1568	2982	2617	2780	2351	2623	1994	1664	1374	2128	2604	1774	1553	1563	1593	65	59	210	620	920	142	1331	1958	2117	1552	919	1093	978	2485	1649	1899
B4U62_00190	2515	4275	3928	3864	3618	3767	2901	2895	2351	3526	4483	2843	2597	2600	3251	84	90	269	1160	1351	196	2143	3725	3896	2928	2228	1975	1868	2751	1762	2441
B4U62_00195	4389	4555	4172	4285	3675	3376	2742	2750	2136	3535	3318	5256	2108	2318	3402	258	332	653	1923	1741	219	3951	3255	3415	3031	1907	2215	2020	4242	2866	3998
B4U62_00200	1084	1583	1380	1223	1227	1339	1107	1199	1158	1681	1086	1179	986	1116	2535	144	160	969	1389	3155	291	981	688	708	660	511	532	490	793	541	867
B4U62_00205	1686	2013	2100	1709	1528	1799	1297	1598	1219	1976	1421	1626	1068	1252	2084	123	70	602	1073	2112	242	1380	323	367	297	1030	946	934	1182	766	1097
B4U62_00210	1328	1731	1629	1384	1219	1417	1107	1281	960	1516	1178	1389	928	1029	1991	42	30	348	768	1677	177	1093	868	703	1005	1114	1056	963	1017	661	997
B4U62_00215	4183	4660	4324	3827	3393	3604	2960	2794	2460	3961	3242	4569	2153	2474	4685	319	345	1585	2765	3902	393	3642	899	884	878	2754	2602	2434	3723	2386	3396
B4U62_00220	5075	4780	4111	3942	3292	3311	2577	2750	2383	3857	3480	5749	1981	2379	3857	348	395	1099	2354	2589	217	4306	1561	1331	1522	2562	2552	2357	3943	2509	3934
B4U62_00225	2043	1780	1516	1573	1059	1121	889	944	774	1281	1003	2426	590	706	1248	49	56	224	604	652	53	1867	826	674	832	1096	1178	1020	1806	1158	1585
B4U62_00230	782	522	519	443	365	343	311	386	260	537	369	794	259	309	556	27	24	94	223	197	20	656	204	178	197	276	264	267	490	287	459
B4U62_00235	149	98	67	77	54	46	54	61	33	72	62	144	27	39	85	3	2	7	17	25	2	119	17	24	28	39	42	41	73	33	98
B4U62_00240	1230	1111	1001	891	676	611	514	634	452	849	615	1336	423	516	807	43	52	124	335	350	34	1065	439	327	506	529	512	554	860	555	869
B4U62_00245	26370	13899	10902	11570	6259	6876	5123	4987	4261	7196	2226	32942	1298	1880	5693	94	61	799	2683	4882	360	27091	1541	1345	1229	5783	11605	9922	19100	11228	16252
B4U62_00250	12039	9331	8043	7900	7605	6795	5757	5213	4317	6957	5415	13523	3019	3815	4571	150	174	410	1407	1527	78	10896	3047	1998	3475	7057	6754	6455	8678	5525	8671
B4U62_00255	856	819	780	671	553	545	422	421	377	579	350	870	236	307	336	55	43	69	176	186	8	780	363	308	541	554	629	539	714	574	786
B4U62_00260	22729	27244	24698	26163	43715	39638	29592	31892	27325	42662	24102	32449	17165	19930	26653	768	690	1358	5123	5567	340	22763	1713	1459	2003	6052	8645	8354	16445	9859	15870
B4U62_00265	1434	990	845	793	953	883	773	1027	855	1345	789	1608	523	699	1156	58	41	162	288	436	22	1314	102	81	152	440	499	446	926	611	927
B4U62_00270	2994	1972	1777	1680	1970	1831	1385	2132	1664	2736	1540	3440	1192	1409	2466	141	159	398	763	836	43	2722	971	822	1370	801	926	883	1806	1171	1878
B4U62_00275	141	7266	6594	7704	12535	14980	9292	21298	17389	29935	11315	166	16348	13042	12757	725	725	389	878	946	41	108	107	102	292	51	88	64	116	79	102
B4U62_00280	24315	71341	74000	72064	27054	23164	17223	29795	23696	33332	26923	26380	8052	11534	9335	575	682	4101	12268	18336	672	18250	6210	5794	5561	22231	65336	58793	88260	58980	74988
B4U62_00285	234	2074	2762	2424	2097	1799	1535	2988	1781	3017	1518	246	1611	1847	4402	11586	25636	375491	280078	172433	65520	162	50	35	78	189	384	383	578	496	799
B4U62_00290	3739	3102	2762	2433	2499	2648	2067	2586	2224	3508	2767	4296	2163	2348	2622	446	513	298	785	760	35	3089	1069	830	1329	1653	1659	1649	2126	1445	2131
