B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_06300	1984	7089	7626	6608	10995	7644	6819	5492	4637	6130	8217	2156	7235	7808	6503	1549	1641	1288	4333	2780	172	1993	1041	756	1405	1408	883	1591	5564	2717	5047
B4U62_06305	10282	31545	32521	29422	42617	28646	25614	23248	18660	23748	21986	10598	20942	23422	19573	1728	1703	1909	7172	6399	687	8994	30271	20898	37727	18558	12336	15357	22847	13076	19721
B4U62_06310	2602	6294	6142	5872	8928	5966	5393	3760	3160	4063	4824	2340	3799	4191	3574	821	897	743	2840	1637	146	2269	4276	3009	5554	4523	2901	3790	5409	3275	4865
B4U62_06315	2505	5813	5615	5514	9367	6345	5758	3651	3069	3954	4723	2506	3530	3859	3432	772	886	813	2343	1689	146	2244	4452	3373	6186	3648	2398	3205	4972	2840	4288
B4U62_06320	654	1835	2090	1766	2903	2755	2002	2788	2366	3460	2484	619	2523	2674	1860	64	50	90	254	287	22	567	33	51	152	140	134	233	1137	640	1126
B4U62_06325	7847	4760	3448	3915	3307	2296	2146	2953	1995	3643	2561	8967	1355	1854	3633	76	119	328	1363	991	60	6961	251	193	355	3208	2985	3019	5187	3413	5898
B4U62_06330	22345	48457	46787	43036	77720	54694	48903	36390	28633	37349	46232	22126	29808	31875	36804	2841	2963	7064	27203	17733	2247	18404	50982	35386	60548	32704	25077	27413	47621	26447	45899
B4U62_06335	2110	3475	3335	3210	3873	2402	2374	2540	1976	2691	2220	1709	2071	2223	2987	483	722	841	2994	1481	148	1540	2938	2215	3601	3106	2340	2591	4575	2713	4203
B4U62_06340	1803	2930	2703	2625	3535	2166	2064	2099	1709	2137	1932	1486	1718	1933	2206	609	771	753	2296	1120	118	1478	3123	2530	4171	1640	1288	1382	3835	2099	3373
B4U62_06345	2988	5473	4802	4486	6266	3740	3780	3673	2562	3487	3798	2422	2966	3065	3681	694	780	917	3394	1879	163	2271	11126	8231	14082	4003	2750	2924	5405	3259	5422
B4U62_06350	3403	6261	5767	5412	8192	5308	4947	4411	3275	4338	5006	3374	3780	4050	4675	858	961	1298	4118	2362	257	2735	26092	18939	32871	4891	3513	3786	6411	3783	6164
B4U62_06355	371	1004	991	848	1044	1216	973	650	610	957	1053	370	610	682	877	175	189	85	338	334	13	262	284	225	390	338	321	272	461	336	476
B4U62_06360	6020	21925	17965	15285	46812	33925	29875	22041	22184	25603	23805	5442	17260	19149	28186	551	395	4813	12567	38755	3251	4270	6058	5474	5440	4639	4759	3766	4839	3262	3871
B4U62_06365	16234	50015	43852	45505	63114	46094	40893	24931	23883	28852	32434	18289	19120	21364	28014	2623	3053	10563	22119	45838	3282	14041	8614	8781	7234	17106	16819	15912	36894	24288	33857
B4U62_06370	233	1841	1794	1641	3901	4187	3042	3600	2728	4330	4012	277	2602	2856	3957	300	318	473	773	865	43	237	337	325	328	244	236	252	394	321	457
B4U62_06375	13422	32413	29888	28797	36266	35651	27108	24582	20785	29772	32357	17433	18627	19106	22263	906	930	5129	11776	21741	1285	11711	7002	6512	6820	12055	13899	11924	18997	10851	19716
B4U62_06380	130	405	382	367	695	830	565	609	453	657	627	148	552	597	545	77	89	137	314	398	16	136	181	133	299	206	201	198	236	193	220
B4U62_06385	9490	12501	12455	10347	11307	11094	8875	7599	6926	10263	10707	9790	7773	8658	13062	935	1014	1838	4144	4763	225	7627	38196	26411	47956	34080	23959	23215	8278	5884	8320
B4U62_06390	31	664	971	878	1773	2541	1349	1738	2131	2826	1831	38	1686	1687	1952	114	108	116	155	162	10	20	105	98	126	54	46	35	51	48	53
B4U62_06395	27	106	162	165	98	76	65	47	47	54	83	33	31	41	26	8	5	10	14	21	5	31	37	29	50	31	37	48	137	105	81
B4U62_06400	4091	5537	4984	5116	5213	5768	4700	4537	3986	5960	5724	4507	3250	3543	5582	324	320	1014	2514	2220	123	3493	593	582	662	2201	2276	2176	4925	3134	5194
B4U62_06405	2871	4259	3927	3987	3796	3928	3284	3150	2490	3913	4425	3266	2504	2703	3670	170	193	523	1546	1607	57	2385	388	306	386	1451	1608	1687	3601	2236	3862
B4U62_06410	5213	1655	1441	1551	1471	1256	1082	1030	971	1509	1691	6593	910	1087	1157	93	119	160	417	356	39	4995	5409	4190	5809	3742	3121	3208	3997	3077	4359
B4U62_06415	1563	754	681	662	730	785	590	655	577	866	818	1999	522	593	730	38	31	64	192	207	7	1515	162	132	175	677	748	716	1057	722	1153
B4U62_06420	763	599	680	610	302	303	281	255	326	398	244	856	126	179	258	5	6	17	79	111	16	581	9	17	13	298	384	334	919	509	608
B4U62_06425	1550	1252	1331	973	683	667	543	809	615	1065	618	1602	412	509	780	60	54	163	328	329	33	1162	227	193	375	648	705	607	973	600	1023
B4U62_06430	2233	2014	1840	1551	1119	1166	848	1362	1094	1806	1063	2343	682	760	1428	133	151	186	556	495	34	1576	718	598	917	1294	1222	988	1400	939	1479
B4U62_06435	3600	3072	2679	2648	1787	1570	1372	1846	1447	2454	1698	3944	1099	1214	1722	196	294	253	864	651	46	2937	1357	1124	1850	1884	1917	1861	3083	1949	3015
B4U62_06440	319	448	431	402	510	435	387	397	340	534	518	330	259	337	396	36	42	60	168	145	3	275	35	32	67	213	146	178	360	227	355
B4U62_06445	810	628	440	507	642	632	494	568	478	766	660	837	475	496	578	54	59	53	164	169	20	661	118	86	242	308	280	265	653	361	579
B4U62_06450	35	87	72	59	58	43	41	52	41	65	45	41	23	30	49	4	11	16	34	32	1	36	37	44	108	61	49	34	52	47	62
B4U62_06455	45	61	51	44	41	38	28	33	21	44	23	21	26	50	61	17	17	22	29	31	1	36	58	63	73	76	47	43	25	20	29
B4U62_06460	81	136	136	108	106	91	71	94	65	124	103	92	80	63	143	31	40	23	31	57	0	59	119	101	178	148	90	102	75	62	80
B4U62_06465	3	8	7	9	6	3	3	6	6	15	2	4	5	8	3	0	2	3	1	1	1	1	6	5	10	11	5	5	2	3	3
B4U62_06470	74	175	121	142	113	96	87	102	89	143	76	110	96	94	173	49	63	40	79	73	6	80	101	125	171	159	85	94	90	54	98
B4U62_06475	138	179	183	184	200	166	150	162	141	199	185	131	175	177	284	62	89	46	115	102	8	103	257	204	318	149	121	118	149	70	133
B4U62_06480	174	292	273	243	364	326	269	256	226	402	301	176	290	263	544	124	114	94	195	199	9	155	240	220	346	190	119	116	129	93	157
B4U62_06485	12829	8722	7396	7685	6951	6058	4153	6956	5815	8936	2777	17293	1460	1986	2530	225	301	368	1788	1329	85	11823	320	232	415	5620	5662	4878	8718	6330	7461
B4U62_06490	96	8000	7643	7425	16816	17992	12439	20327	17109	28122	22745	114	16426	17243	22059	1125	1061	349	1073	1001	30	58	69	103	299	82	69	57	124	67	117
B4U62_06495	11	19936	17481	22514	44357	52316	33897	55635	54694	86004	64051	15	84992	64548	57507	4569	4987	2234	3680	3856	237	8	375	265	820	41	11	7	13	24	14
B4U62_06500	106	23435	20050	26065	50309	56268	35696	69536	56033	97842	69184	119	91152	65087	66576	9630	11640	3590	4460	4812	237	100	779	326	947	106	59	31	76	69	79
B4U62_06505	153	69029	69226	91685	148046	181230	98953	232216	219483	339605	222549	124	328379	222907	147557	13811	14424	7673	12735	14811	1045	87	1798	969	2610	230	117	48	72	95	98
B4U62_06510	39	13306	13541	16612	27342	34195	21582	45336	45036	66669	59316	46	76432	56016	40483	2891	2015	753	2165	2495	210	41	390	218	637	36	20	13	29	31	20
B4U62_06515	61	50093	55988	71868	87681	112094	63344	191140	196054	273824	127963	60	211374	150464	77622	10422	10515	6861	12072	15033	1268	51	1263	539	1582	157	75	32	47	56	40
B4U62_06520	93	1055	908	963	1783	1905	1443	1824	1776	2690	1423	77	1298	1107	1586	159	130	36	159	136	11	74	46	31	79	35	37	40	63	37	67
B4U62_06525	7	1329	1494	1397	1572	2000	1167	3369	3151	4919	1950	9	3519	2600	2234	230	188	85	157	192	4	3	13	10	98	8	1	3	4	7	2
B4U62_06530	8	10277	15277	14355	9574	10067	7956	28034	24264	35445	19596	9	27998	17805	22295	6301	7987	1764	2209	3016	115	5	111	51	244	33	4	5	5	10	7
B4U62_06535	20	31148	32397	40799	35795	42748	28969	63117	56965	83817	47362	23	59990	42456	28189	1229	1345	723	2797	4228	147	18	422	235	598	62	24	11	24	20	15
B4U62_06540	2548	1837	1615	1783	1463	1598	1077	2843	2314	3778	2174	2919	4445	3364	2668	377	454	255	544	520	38	2550	280	236	373	832	895	925	1416	998	1581
B4U62_06545	458	3000	3703	2549	6060	5748	4416	3001	2968	4013	2595	369	2988	4280	3149	583	371	789	1294	3742	403	346	591	454	552	674	595	671	385	253	263
B4U62_06550	1857	4620	5892	3236	2581	3344	2606	3953	3623	6167	3435	2065	2806	2797	4621	1789	2272	2770	6015	5878	292	1257	6525	5674	8896	3525	2245	2561	1333	863	1353
B4U62_06555	2421	6002	7840	4825	4342	5800	3901	5985	4795	8464	4997	2427	5772	6701	9770	3676	3226	6623	14166	12592	1145	1532	5664	4479	6746	5470	3927	3876	1648	1087	1639
B4U62_06560	5607	12199	14480	10598	10144	12677	9014	11791	9919	17084	10815	5548	12059	13407	23999	8012	8245	14690	30212	28302	2555	3853	4621	3701	5218	5448	4090	3788	3620	2329	3577
B4U62_06565	11565	5960	4002	4906	2715	2488	2109	2004	1671	3149	2110	11885	1741	2788	1082	102	130	203	762	808	16	11134	1074	832	1313	6839	4981	5293	5275	3604	7118
B4U62_06570	14555	9348	6200	7658	4281	3425	3060	2905	2208	4273	2963	15429	2338	3539	1664	229	305	391	1229	1224	42	13932	6869	5086	8748	15031	9750	10162	6916	4924	10283
B4U62_06575	1105	1201	1015	1021	864	850	718	606	520	817	632	1229	412	554	642	37	43	109	305	219	24	922	139	132	226	618	520	515	712	486	850
B4U62_06580	637	856	741	747	520	489	395	366	309	527	488	774	242	398	489	118	148	146	464	289	21	579	162	145	279	431	311	362	472	349	553
B4U62_06585	145	250	366	283	102	106	89	70	63	130	106	217	49	55	62	15	21	14	44	28	0	161	16	14	49	276	417	645	322	237	268
B4U62_06590	301	259	216	218	107	135	77	138	99	211	77	408	42	70	51	1	1	6	19	22	4	268	4	6	70	121	201	207	401	221	388
B4U62_06595	4070	4174	2925	3989	2079	1591	1253	1127	977	1320	463	4728	216	357	296	3	13	126	366	421	18	4229	22	31	38	1413	3814	2627	14739	8815	8814
B4U62_06600	9005	8265	7186	8745	3716	2894	2386	1662	1272	1750	1724	10437	832	1013	651	9	11	240	920	1006	33	8185	1023	773	1138	4337	12662	11110	21555	11736	21272
B4U62_06605	19	33	43	26	18	25	23	27	18	38	27	26	23	35	27	1	0	3	23	17	2	13	7	8	11	17	16	26	77	37	46
B4U62_06610	9	31	32	23	11	10	9	18	15	27	13	8	8	12	23	0	1	1	6	4	3	18	5	5	22	14	9	19	33	22	29
B4U62_06615	84	164	192	158	88	91	58	122	95	152	110	91	90	140	130	9	12	16	63	47	2	76	54	49	96	77	107	99	213	117	191
B4U62_06620	2217	493	377	414	260	166	184	153	130	195	139	2998	99	121	127	4	2	31	88	97	11	2130	41	69	81	159	792	392	2572	1691	1950
B4U62_06625	1697	533	489	586	347	185	223	121	84	128	114	2213	60	140	81	0	1	14	69	57	1	1524	37	38	57	499	834	782	2512	1583	1838
B4U62_06630	46	80	74	75	72	103	62	57	59	77	182	77	86	93	226	13	15	66	157	179	11	50	57	27	83	50	63	61	39	29	53
B4U62_06635	633	430	455	365	289	227	226	247	240	338	254	830	130	175	159	6	2	20	73	87	4	539	64	59	122	394	436	416	425	260	371
B4U62_06640	1354	987	954	855	801	719	567	501	436	683	493	1589	417	447	470	17	25	58	208	208	14	1080	218	188	284	1083	1143	1006	863	592	887
B4U62_06645	210	28721	18864	20187	22014	19695	14415	11025	9162	12741	16974	242	5305	5358	1239	51	75	313	2145	2401	96	153	1163	957	1476	9646	9275	10616	22315	14224	14431
B4U62_06650	608	728	762	701	1442	1200	1113	713	738	933	887	640	626	725	1556	152	141	471	548	1016	96	543	102	79	235	207	232	231	363	238	362
B4U62_06655	176	206	196	197	195	233	158	191	182	315	182	153	286	275	262	114	105	44	87	142	2	88	227	202	544	289	186	232	415	341	244
B4U62_06660	77	158	179	133	243	290	173	286	262	365	268	77	356	295	386	157	120	61	151	122	9	56	284	230	514	88	63	85	164	136	125
B4U62_06665	5048	2507	2086	2474	1924	1499	1279	1119	938	1490	1008	6050	655	885	1363	81	79	180	657	521	41	4926	333	294	409	921	1350	1378	3422	2216	3293
B4U62_06670	1417	3075	2529	3019	3297	2911	2331	3035	2517	3726	2415	1807	1671	1750	3068	82	45	146	546	605	30	1313	552	556	531	655	918	944	2502	1450	2523
B4U62_06675	91	3422	3923	3685	8719	9731	6785	8366	7790	11852	7726	89	6138	6016	9164	298	295	178	538	577	22	77	1082	1179	950	48	78	54	148	110	122
B4U62_06680	655	683	612	639	545	544	458	428	382	550	605	727	427	397	369	37	34	44	134	148	14	616	606	720	586	445	526	486	649	396	526
B4U62_06685	184	494	517	450	391	408	316	466	347	576	493	214	328	380	279	20	17	31	67	81	5	203	677	606	490	181	213	234	297	212	295
B4U62_06690	211	422	388	419	470	425	332	279	233	367	216	258	161	177	416	29	15	21	58	118	11	198	32	40	75	97	111	103	387	233	301
B4U62_06695	1726	649	520	717	443	307	302	175	143	183	140	1935	91	113	183	12	2	45	116	136	12	1690	50	32	47	262	721	687	1576	977	887
B4U62_06700	264	4849	4365	4190	5148	4068	3640	2509	2216	3244	1840	369	1265	1405	1868	131	143	101	415	474	25	232	65	93	128	152	173	182	2022	1411	2706
B4U62_06705	61	7895	6778	9177	25984	29125	19898	25417	25133	39100	33354	60	35620	25606	22242	4063	4204	723	1147	1249	77	42	139	153	478	29	30	15	78	66	77
B4U62_06710	9471	4046	3787	4083	2398	1880	1901	1109	872	1218	854	9790	523	778	1197	95	82	140	463	579	18	9251	207	158	393	1860	2678	1244	7078	4063	6205
B4U62_06715	359	2189	2064	2161	5034	5304	4062	4379	4099	6324	2030	416	1488	1673	5626	298	263	136	321	352	32	307	395	297	385	1025	755	733	303	250	353
B4U62_06720	3500	650	533	600	529	466	412	439	480	591	614	4478	290	595	409	37	45	119	222	247	32	3063	3088	1924	2955	5590	4646	5157	1833	1557	2500
B4U62_06725	107	190	178	163	174	316	211	198	206	327	158	109	175	168	641	164	174	171	239	320	29	85	187	141	282	45	40	35	58	48	76
B4U62_06730	679	1001	946	795	705	1101	843	601	618	1024	733	769	416	472	1372	229	269	267	445	749	44	515	101	91	135	208	228	162	363	224	398
B4U62_06735	40	929	910	639	592	1663	1189	819	1245	1801	740	27	843	1007	3286	487	617	1828	1378	2741	252	12	517	471	590	63	29	33	12	8	10
B4U62_06740	1543	15047	15686	9611	12482	21460	17011	18588	19325	31062	14008	1018	18806	22090	72506	12582	16918	38847	35628	71026	3621	780	11005	11465	12504	1412	646	586	268	158	168
B4U62_06745	295	2727	2939	1742	1036	3861	2430	2967	3910	6334	2020	228	2174	2582	13713	1055	1179	5557	5292	10452	680	157	2138	2154	2356	306	167	180	58	29	38
B4U62_06750	376	326	383	303	127	142	124	91	86	123	141	450	74	128	63	13	11	8	47	68	8	269	28	35	156	163	302	262	471	286	247
B4U62_06755	577	648	661	625	638	524	384	323	321	467	873	765	465	489	418	84	116	114	232	197	17	491	1298	1084	1658	291	376	356	836	537	696
B4U62_06760	2501	240	257	255	302	339	238	192	168	318	267	3287	210	170	280	18	14	49	160	92	6	2188	33	25	24	98	117	115	163	110	156
B4U62_06765	2096	1914	1787	1442	1439	1587	1336	1162	1225	2050	2192	1711	1581	1543	2855	419	399	505	1312	1293	63	1466	8744	6707	11647	1319	828	895	524	344	545
B4U62_06770	3248	2249	2002	1754	1580	1645	1286	1286	1121	2205	2332	3238	1858	1841	3121	492	669	676	1487	1499	101	2398	15565	11464	19750	1996	1352	1341	770	460	733
B4U62_06775	697	352	351	378	229	239	179	179	184	220	141	540	102	129	187	11	16	12	56	84	5	607	50	33	65	112	181	180	543	273	287
B4U62_06780	1930	1742	1498	1237	1167	1015	955	924	744	1267	1272	2182	808	947	1474	202	266	400	591	760	46	1488	843	660	1144	666	552	659	972	598	1140
B4U62_06785	494	452	388	433	502	389	290	326	223	433	459	494	280	345	440	93	85	96	252	184	7	435	501	361	657	220	217	247	358	246	382
B4U62_06790	458	478	433	397	488	396	347	339	282	378	541	501	294	294	420	79	109	119	253	216	14	387	283	198	320	200	163	196	370	258	406
B4U62_06795	1296	939	793	818	1011	887	689	530	433	642	1151	1466	703	661	595	161	150	122	386	282	8	1165	194	191	258	523	478	464	834	532	823
B4U62_06800	175	1785	1722	1266	5326	3740	3747	1581	1624	1925	2514	160	2059	2258	6560	2320	2620	3202	2707	5694	236	113	6020	4471	7292	502	340	412	370	235	307
B4U62_06805	12169	5384	4578	4947	4634	3375	3104	3551	2588	4043	3962	13062	2134	2870	3517	149	152	514	1375	1629	89	10807	1402	1295	1532	4521	5082	4576	6876	4688	6466
B4U62_06810	28832	17210	14986	14897	18196	14500	13263	10600	7931	12094	18238	30719	8975	10639	11977	2280	3364	2793	5344	5488	247	25174	5038	4708	5884	13906	13547	12567	16014	10641	16059
B4U62_06815	46	197	201	142	280	288	221	271	222	302	413	35	348	353	598	92	111	211	494	374	73	45	1557	1109	1973	103	85	83	43	25	39
B4U62_06820	84	239	232	187	365	406	285	230	240	335	431	69	337	328	497	113	125	160	369	246	33	46	125	92	183	36	34	31	71	60	83
B4U62_06825	8	2019	2306	1952	3585	3854	2763	4335	3542	6010	4301	6	4313	4407	5563	444	667	235	463	446	44	5	35	32	167	8	6	6	8	9	9
B4U62_06830	6	1275	1470	1220	2217	2199	1802	2651	2228	3798	3118	15	3243	3042	4244	459	501	160	319	308	17	10	87	105	220	23	6	12	20	14	13
B4U62_06835	101	1064	1202	1040	1864	1894	1426	1946	1788	2799	2303	89	2564	2504	3845	464	480	192	385	312	31	76	243	215	384	38	30	38	70	52	93
B4U62_06840	20	649	669	535	992	1017	885	1153	986	1602	1359	16	1440	1394	2410	388	388	131	242	225	4	10	114	91	202	9	6	10	19	7	15
B4U62_06845	46	854	1046	875	1698	1739	1246	1777	1523	2386	2026	47	2283	2259	3990	562	522	172	383	294	19	30	158	140	295	37	21	26	31	30	30
B4U62_06850	1519	2600	2623	2589	3485	3315	2420	2993	2586	4045	4104	1772	3246	3332	5090	387	319	331	1103	966	74	1350	174	149	230	791	851	705	1598	952	1533
B4U62_06855	57	185	166	135	184	182	128	259	217	334	239	92	254	245	442	44	55	82	185	132	10	68	68	78	275	206	184	175	81	59	82
B4U62_06860	173	395	330	364	546	528	409	629	520	814	682	188	812	667	1064	185	165	176	531	331	35	164	280	209	417	476	327	367	250	157	258
B4U62_06865	2671	2253	1780	1996	4675	4945	3584	3792	3430	5725	4757	2700	4708	4001	5114	484	562	631	1964	1395	97	2351	47	59	150	1121	1039	1406	2086	1337	2570
B4U62_06870	9016	5759	4716	4902	4061	3782	3185	1508	1575	2223	1850	10572	779	1048	1642	87	92	219	685	691	40	8150	1265	1021	1340	15114	11525	12763	7556	6122	7893
B4U62_06875	1647	4725	3459	3609	2259	2426	1732	3611	2417	4609	3375	1658	2082	2216	1669	79	85	153	603	635	32	1319	2131	1981	1900	1219	1317	1052	1879	1377	1845
B4U62_06880	6840	19688	24558	17018	63411	59898	47348	44578	45161	49136	61245	8113	83940	86332	135676	42701	39378	95287	246414	266885	16466	5817	843187	614055	994740	7480	6260	5569	3315	2614	2812
B4U62_06885	102	378	765	429	1438	1685	1526	1002	1110	1184	1622	106	1756	1777	3785	1228	811	1700	4428	4337	189	64	19076	20285	21724	161	127	145	75	53	59
B4U62_06890	102	175	248	162	129	121	111	111	81	143	157	96	76	117	120	47	56	38	75	62	3	75	5	2	19	78	110	112	143	85	137
B4U62_06895	869	434	434	354	523	473	390	449	366	603	418	831	426	463	480	75	128	113	198	178	20	630	54	31	102	2761	1445	1790	271	228	288
B4U62_06900	1945	1805	1564	1754	1017	821	681	577	469	682	556	2349	300	407	378	25	30	141	302	360	11	1646	66	48	81	855	1514	1248	3428	1993	2733
B4U62_06905	216	311	438	273	249	229	184	238	201	269	222	328	185	242	241	136	144	127	151	194	12	144	197	174	290	313	294	271	282	133	282
B4U62_06910	641	956	1107	955	1448	1253	983	1288	924	1500	959	775	1171	1200	1309	526	635	391	486	562	31	487	398	302	729	401	405	418	580	339	596
B4U62_06915	255	361	293	249	710	486	476	336	315	369	359	273	273	310	412	59	62	191	174	234	13	196	23	21	85	172	191	180	218	119	224
B4U62_06920	679	1063	1072	935	1030	953	760	635	612	832	820	822	506	549	353	22	20	63	219	255	23	624	28	21	100	300	423	410	766	502	738
B4U62_06925	7	6	3	3	3	5	9	4	2	7	7	9	2	1	2	3	0	1	1	0	1	5	0	3	3	15	4	9	1	3	3
B4U62_06930	53	20	23	29	47	28	26	20	22	26	26	53	15	25	32	2	6	9	16	14	3	29	7	2	14	44	31	31	18	10	15
B4U62_06935	79	36	28	36	50	49	41	17	32	37	44	61	17	26	62	5	13	8	24	26	1	78	7	2	13	83	58	54	20	21	22
B4U62_06940	10	5	7	6	4	6	5	2	4	7	3	15	5	1	10	0	5	2	3	1	1	7	0	0	1	18	7	4	1	6	2
B4U62_06945	25	17	14	7	27	28	16	15	32	31	22	20	16	14	23	3	4	6	19	11	2	16	0	3	24	51	25	26	8	9	7
B4U62_06950	23	18	20	19	23	28	24	8	8	18	8	23	12	10	20	1	2	2	6	8	0	28	0	2	5	44	18	20	15	8	10
B4U62_06955	59	13	26	21	33	37	25	23	17	42	30	38	17	17	31	9	5	5	21	10	1	52	3	3	18	76	50	58	11	7	15
B4U62_06960	833	223	206	190	304	293	244	138	167	234	319	739	309	301	199	29	29	93	192	244	4	679	11	26	42	1790	1372	1583	204	167	161
B4U62_06965	1207	293	268	275	431	312	232	221	229	259	321	982	456	464	306	89	117	196	293	347	12	942	29	26	85	3186	1944	2282	240	219	230
B4U62_06970	1121	345	310	309	463	412	283	294	293	448	369	957	508	492	352	123	143	140	245	335	6	858	23	37	93	3090	2030	2190	183	224	166
B4U62_06975	984	258	229	173	275	251	212	202	227	331	269	765	456	393	225	85	106	125	239	250	9	697	25	23	91	3287	1795	2067	181	194	144
B4U62_06980	1491	319	274	221	315	244	201	150	161	223	283	1351	483	488	251	98	125	216	328	322	8	1213	38	33	88	5155	2700	2942	221	300	198
B4U62_06985	556	86	84	82	105	96	63	61	55	77	85	407	164	134	108	48	42	50	119	133	1	399	13	11	27	1734	804	954	64	81	62
B4U62_06990	376	56	51	60	66	47	49	45	31	58	56	319	117	89	53	26	33	22	79	88	1	295	3	3	14	1443	829	845	53	72	57
B4U62_06995	481	113	81	76	113	96	72	66	63	78	99	430	152	172	79	32	32	51	109	122	2	405	14	9	27	1789	972	1202	80	93	65
B4U62_07000	352	78	54	66	74	47	44	25	46	65	83	320	106	89	57	44	53	37	80	73	3	305	11	7	21	1267	612	788	76	60	44
B4U62_07005	121	22	14	20	27	17	10	10	14	22	22	88	34	26	22	1	1	10	15	15	0	89	2	1	16	330	177	221	24	19	17
B4U62_07010	2720	480	440	440	712	588	443	379	360	601	635	2274	857	754	591	153	183	171	387	434	6	2091	41	43	64	8497	4629	5166	416	449	300
B4U62_07015	887	215	169	189	266	196	148	93	108	144	148	822	260	280	147	37	45	82	150	164	6	779	21	22	51	3012	1574	1997	163	159	141
B4U62_07020	410	89	81	77	124	109	78	66	59	93	89	356	156	146	85	20	14	41	84	103	3	305	3	18	53	1069	809	877	79	85	55
B4U62_07025	18	3	3	1	3	7	6	4	3	2	3	10	5	3	6	0	0	1	0	7	0	17	0	0	1	47	37	26	3	5	6
B4U62_07030	2174	708	659	650	1086	977	733	800	768	1153	1142	1654	1477	1346	1213	214	201	266	590	623	27	1700	670	511	1162	5876	3769	3906	449	423	329
B4U62_07035	271	41	35	28	55	34	39	23	27	29	38	206	86	87	60	23	13	42	43	34	0	220	15	17	30	877	537	563	40	36	28
B4U62_07040	438	46	67	53	73	42	41	33	43	63	59	351	136	138	80	30	17	55	77	74	6	323	3	5	21	1496	831	859	61	47	51
B4U62_07045	72	10	10	9	13	8	7	4	5	12	11	61	14	14	9	4	8	9	17	15	0	64	0	1	8	285	139	179	9	16	5
B4U62_07050	129	18	23	17	15	12	13	13	23	17	18	87	38	31	23	9	7	14	30	28	1	122	1	8	13	413	249	228	19	13	16
B4U62_07055	306	68	74	53	83	53	61	59	66	79	92	267	116	126	91	26	28	32	71	80	0	242	18	31	104	1045	617	661	62	61	44
B4U62_07060	259	44	49	26	51	38	46	43	20	44	43	193	94	80	51	25	25	27	31	36	1	188	17	16	22	807	515	546	44	41	27
B4U62_07065	75	12	12	4	16	5	7	8	5	14	12	59	18	19	22	4	1	10	7	10	0	61	3	3	4	188	125	141	12	8	5
B4U62_07070	943	325	289	298	457	464	344	297	285	493	437	679	511	465	467	41	32	95	213	241	15	693	50	97	420	2365	1854	1771	243	202	138
B4U62_07075	104	36	24	25	39	22	28	18	26	32	33	85	36	38	45	15	8	13	36	18	0	63	1	1	6	436	186	255	13	15	25
B4U62_07080	28	7	7	8	8	7	5	8	4	16	11	21	11	9	8	1	0	1	6	6	0	14	1	0	1	90	54	52	3	6	5
B4U62_07085	424	150	110	119	148	180	134	219	201	322	150	377	333	279	199	57	55	64	127	120	3	353	25	19	78	1458	912	947	84	86	100
B4U62_07090	208	110	142	88	146	138	105	96	118	171	144	220	171	151	120	27	30	28	77	55	3	168	11	11	27	710	462	551	69	66	53
B4U62_07095	242	106	76	83	132	124	83	71	80	129	107	189	150	178	108	20	34	59	95	92	2	204	8	11	21	773	470	571	64	63	53
B4U62_07100	1778	1625	1612	1822	2238	2221	1525	3879	3257	5342	2521	1643	4870	3788	2621	711	870	645	1181	1220	55	1376	200	164	317	5132	3171	3452	634	528	620
B4U62_07105	440	1026	1207	1002	1013	1144	973	892	783	1281	1097	424	659	723	1174	89	56	132	463	478	31	369	256	256	188	259	247	274	524	357	482
B4U62_07110	1508	3263	3493	2985	3190	3636	2612	3405	2910	4530	3423	1696	2379	2457	3990	143	131	501	1283	1839	156	1181	533	477	541	900	1054	918	1850	1187	1706
B4U62_07115	13421	8289	7361	7205	6224	6141	4935	5610	4535	7745	4586	14776	3124	4095	7768	501	678	1872	2845	4028	272	11881	411	399	556	4341	4495	4291	8670	5521	8512
B4U62_07120	11718	6596	5909	6080	4246	4016	3324	3599	2982	4937	2620	13832	1750	2374	4511	77	59	534	1420	2134	219	11009	201	206	271	2774	4947	3992	9680	5923	8340
B4U62_07125	1515	1681	1030	1335	556	448	334	1448	874	1773	1263	1891	607	732	321	48	38	77	229	291	20	1395	189	144	219	1021	1793	1091	2165	1340	1828
B4U62_07130	752	1716	1565	1424	1485	1787	1312	1202	1153	1769	1452	749	1065	1144	1912	94	127	265	578	866	61	608	407	258	471	942	770	810	716	452	783
B4U62_07135	133	83	73	68	85	104	63	85	78	134	147	125	100	117	103	23	14	23	71	52	1	85	163	159	228	113	109	115	76	51	78
B4U62_07140	103	213	152	144	130	116	78	257	122	237	228	104	187	163	98	24	17	25	68	52	2	115	294	293	324	135	131	129	137	102	142
B4U62_07145	2581	3707	3503	3311	4618	3979	3337	3096	2545	3977	3576	2491	2538	2548	5355	481	487	827	2177	1898	175	2146	3123	2108	3232	2608	1976	1896	2098	1369	1997
B4U62_07150	1492	1253	1127	1004	852	876	653	770	658	1204	687	1804	423	524	1185	80	77	182	366	337	25	1255	241	203	336	449	548	453	852	494	945
B4U62_07155	3377	6401	7554	6504	12681	8423	7943	6269	4844	6471	8174	4234	5399	5231	7725	1686	2109	1185	3526	2595	211	2769	1136	865	1491	1704	1396	1704	1485	692	1422
