locus_tag	LB24H	X6H	X12H	X1D	X2D	X3D	X5D	X7D	X14D	X1M	X2M
B4U62_00005	2.0160289945915066e-05	0.0001733456374721028	8.960800219076055e-05	9.465918035010338e-05	0.00010935407408227175	9.355349137197602e-05	9.14865347021834e-05	6.441720109723336e-05	2.2919246288329048e-05	2.9786014674124087e-05	9.721029198214512e-06
B4U62_00010	5.8153620588655406e-05	0.00015724603072508076	6.926612987359968e-05	7.611705868007621e-05	7.291084856141585e-05	6.766236120934208e-05	5.2803806995779265e-05	4.201778139372196e-05	2.4144557326670702e-05	2.9741221017224086e-05	6.8576727567016155e-06
B4U62_00015	1.7771875102024736e-05	0.0001925296995917873	0.00011161151123157723	0.00012302850692905525	9.627271281716504e-05	6.402705739799845e-05	8.17523921535426e-05	6.594290858254312e-05	4.006232330577251e-05	3.187710884610269e-05	9.024506856909429e-06
B4U62_00020	0.0005577015598054246	0.00031629932397557833	0.00018227222203340152	0.00020413749746197788	0.0002152051827932139	0.00019229158430390263	0.00024393796475925667	0.0002536941455595835	0.00030111923889338264	0.00018316379975531248	4.9476676406883424e-05
B4U62_00025	0.00029414620595692644	0.0001245816698626089	7.04266258646849e-05	9.553375344920564e-05	9.642698152338086e-05	9.154633617450376e-05	0.00012169633265000056	9.017203030455717e-05	4.245460669913674e-05	7.749824259201993e-05	1.1885935860319731e-05
B4U62_00030	0.0008954636016392626	0.00030598527375660613	0.0002173029111029775	0.0001925817377426074	0.00021547992219369497	0.00019473998350714265	0.0002386835813605915	0.00025521422298108143	0.00022336836889279713	0.00015892691552532186	4.270752540734602e-05
B4U62_00035	0.0006358834920733938	0.00041340035730853716	0.0002759763243861138	0.00030444693551911616	0.00028440841473955725	0.0002166267068005628	0.00028121715816057215	0.0002527631090961914	0.0001461725241984594	0.0001462128750464046	4.930542614888109e-05
B4U62_00065	1.028650749393403e-05	5.590342980838902e-06	2.254217545660469e-06	5.189402159478822e-06	9.588750167691585e-06	2.6699868531602e-05	1.8462042002701563e-05	1.714018720889558e-05	1.4793856620115076e-05	9.954597673412943e-06	7.839326367789987e-06
B4U62_00070	0.0011962702457585812	0.00030585078383755403	0.00034079844234212805	0.00020385945180750666	0.0001925968902472352	0.0001694156935051823	0.0001471747872124453	0.0002303478316966542	0.00021254082506128779	0.00011367484117491046	2.059580705994053e-05
B4U62_00075	7.053185373504976e-05	0.00042148505047929314	0.00018364112338272273	0.0002117814918175414	0.00015962127582335386	0.00010064447582796745	0.0001090140685341782	8.135204291703873e-05	3.405110797284675e-05	4.7449540901565806e-05	1.6555091970614264e-05
B4U62_00080	7.467802161515207e-05	0.0008826843374853664	0.0004506414737945186	0.000554775414683145	0.00035451386751334007	0.00022467078882425814	0.0002449784123264538	0.00018191720115227209	0.00012998771838018097	0.00010917343346746156	2.3264872761625807e-05
B4U62_00085	0.00013748394748977513	0.0011355440807791389	0.0006467299463558695	0.000689614342624657	0.0003993708589925812	0.0002481535582037821	0.0002720449703970133	0.00019846118005871903	0.00010493905533476905	0.00011775791314361818	2.638637537857777e-05
B4U62_00090	0.0002738370614311976	0.0002538566172453018	0.00021662604667240196	0.00013147620363843297	8.922582107634767e-05	6.962296549814906e-05	7.018864750020584e-05	6.269794231294162e-05	3.159087717534404e-05	3.116744127070104e-05	1.2392808711953113e-05
B4U62_00100	8.364548720733083e-06	0.00012922545095005506	6.0275206831164285e-05	9.003710553719097e-05	7.069446191798827e-05	5.89295939837517e-05	7.936716726355869e-05	5.166347316780482e-05	1.2775331190198928e-05	2.201869548588448e-05	5.77485645201314e-06
B4U62_00105	5.33624638287572e-06	0.000110227150378638	6.329536319400023e-05	8.684639448012467e-05	6.581489056847325e-05	5.4637435221254224e-05	7.549161357025801e-05	5.99511452372723e-05	1.6736912256390407e-05	2.165349515290473e-05	4.8810433721264965e-06
B4U62_00110	4.705337920196228e-05	3.004429276709039e-06	3.923060842147425e-06	2.5287309923686095e-06	0.0001551219552490072	0.00042959922720159246	0.00045083387544201737	0.0004296406014103255	0.0004157547325467259	0.00011146978609683113	2.8844685467878737e-05
B4U62_00115	9.081232881803844e-05	1.2041002678146688e-05	1.1710110382768211e-05	6.300655478892278e-06	7.205442123530036e-05	0.0001572577583714034	0.00011508261166951522	0.00011562955505598128	0.00013389529805112334	0.0001562365180824581	0.00011893010822141348
B4U62_00120	8.847961995711884e-06	5.969500352392958e-05	2.894276664975555e-05	3.7598268662795666e-05	4.62704541304025e-05	4.0220391305908816e-05	4.009401830561047e-05	3.7874391295891045e-05	4.111123600704799e-05	1.8480795745648498e-05	4.5122534284547085e-06
